date,canton,atLeastOneDoseTotal,atLeastOneDosePer100,partiallyVaccTotal,partiallyVaccPer100,fullyVaccinatedTotal,fullyVaccinatedPer100
2020-12-21,AG,0,0,0,0,0,0
2020-12-21,AI,0,0,0,0,0,0
2020-12-21,AR,0,0,0,0,0,0
2020-12-21,BE,0,0,0,0,0,0
2020-12-21,BL,0,0,0,0,0,0
2020-12-21,BS,0,0,0,0,0,0
2020-12-21,CH,1,0,0,0,1,0
2020-12-21,CHFL,1,0,0,0,1,0
2020-12-21,FL,0,0,0,0,0,0
2020-12-21,FR,0,0,0,0,0,0
2020-12-21,GE,0,0,0,0,0,0
2020-12-21,GL,0,0,0,0,0,0
2020-12-21,GR,0,0,0,0,0,0
2020-12-21,JU,0,0,0,0,0,0
2020-12-21,LU,0,0,0,0,0,0
2020-12-21,NE,0,0,0,0,0,0
2020-12-21,NW,0,0,0,0,0,0
2020-12-21,OW,0,0,0,0,0,0
2020-12-21,SG,0,0,0,0,0,0
2020-12-21,SH,0,0,0,0,0,0
2020-12-21,SO,0,0,0,0,0,0
2020-12-21,SZ,0,0,0,0,0,0
2020-12-21,TG,0,0,0,0,0,0
2020-12-21,TI,0,0,0,0,0,0
2020-12-21,UR,0,0,0,0,0,0
2020-12-21,VD,1,0,0,0,1,0
2020-12-21,VS,0,0,0,0,0,0
2020-12-21,ZG,0,0,0,0,0,0
2020-12-21,ZH,0,0,0,0,0,0
2020-12-22,AG,0,0,0,0,0,0
2020-12-22,AI,0,0,0,0,0,0
2020-12-22,AR,0,0,0,0,0,0
2020-12-22,BE,0,0,0,0,0,0
2020-12-22,BL,0,0,0,0,0,0
2020-12-22,BS,0,0,0,0,0,0
2020-12-22,CH,3,0,2,0,1,0
2020-12-22,CHFL,3,0,2,0,1,0
2020-12-22,FL,0,0,0,0,0,0
2020-12-22,FR,0,0,0,0,0,0
2020-12-22,GE,0,0,0,0,0,0
2020-12-22,GL,0,0,0,0,0,0
2020-12-22,GR,0,0,0,0,0,0
2020-12-22,JU,0,0,0,0,0,0
2020-12-22,LU,2,0,2,0,0,0
2020-12-22,NE,0,0,0,0,0,0
2020-12-22,NW,0,0,0,0,0,0
2020-12-22,OW,0,0,0,0,0,0
2020-12-22,SG,0,0,0,0,0,0
2020-12-22,SH,0,0,0,0,0,0
2020-12-22,SO,0,0,0,0,0,0
2020-12-22,SZ,0,0,0,0,0,0
2020-12-22,TG,0,0,0,0,0,0
2020-12-22,TI,0,0,0,0,0,0
2020-12-22,UR,0,0,0,0,0,0
2020-12-22,VD,1,0,0,0,1,0
2020-12-22,VS,0,0,0,0,0,0
2020-12-22,ZG,0,0,0,0,0,0
2020-12-22,ZH,0,0,0,0,0,0
2020-12-23,AG,5,0,5,0,0,0
2020-12-23,AI,12,0.07,12,0.07,0,0
2020-12-23,AR,3,0.01,3,0.01,0,0
2020-12-23,BE,0,0,0,0,0,0
2020-12-23,BL,0,0,0,0,0,0
2020-12-23,BS,0,0,0,0,0,0
2020-12-23,CH,405,0,404,0,1,0
2020-12-23,CHFL,405,0,404,0,1,0
2020-12-23,FL,0,0,0,0,0,0
2020-12-23,FR,0,0,0,0,0,0
2020-12-23,GE,0,0,0,0,0,0
2020-12-23,GL,0,0,0,0,0,0
2020-12-23,GR,0,0,0,0,0,0
